property_id,street_name,city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type,agency_name
2066966109,Reservoir,Hawley,NY,,,18428,375000,,,,,63.6,acres,LOT,Listing by: Keyology Group Llc
29962801,County Road 64,Elmira,NY,42.142677,-76.90204,14903,189900,4,2,110,1714,0.49,acres,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29962922,Brookside Cir,Elmira,NY,42.131203,-76.91786,14903,284900,4,3,112,2533,0.586,acres,SINGLE_FAMILY,Listing by: Howard Hanna Corning Denison
29971014,Elmwood Ave,Elmira Heights,NY,42.131638,-76.82242,14903,119900,3,1,109,1100,10454.4,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Elmira
29974158,Kentucky Ave,Elmira Heights,NY,42.142487,-76.827705,14903,124900,4,2,67,1864,0.275,acres,SINGLE_FAMILY,Listing by: Howard Hanna Elmira
29970967,Elmwood Ave,Elmira,NY,42.130344,-76.822685,14903,74900,3,2,71,1054,5662.8,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Elmira
2064305515,County Route 64,Elmira,NY,42.142715,-76.90277,14903,139900,,,,0,10.27,acres,LOT,Listing by: Henry Dunn Inc. Elmira
29965815,Thornapple Dr,Elmira,NY,42.098663,-76.85376,14903,525000,4,3,137,3832,6.51,acres,SINGLE_FAMILY,Listing by: Signature Properties
29974802,Benedict Blvd,Horseheads,NY,42.12696,-76.86054,14903,329900,5,3,102,3214,5.9,acres,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29973808,Philo Rd,Elmira,NY,42.146763,-76.83534,14903,192500,2,1,143,1345,0.44,acres,SINGLE_FAMILY,Listing by: Realmart
29971268,W 14th St,Elmira Heights,NY,42.12804,-76.83122,14903,93500,4,2,46,1994,5662.8,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29965323,Oakwood Ave,Elmira Heights,NY,42.124393,-76.827,14903,165000,4,2,90,1819,8058.6,sqft,SINGLE_FAMILY,Listing by: KENARRI real estate division
29970866,W 17th St,Elmira Heights,NY,42.13035,-76.83251,14903,54900,4,1,42,1288,7405.2,sqft,SINGLE_FAMILY,Listing by: Richard Winters Real Estate
29963040,Halderman Hollow Rd,Elmira,NY,42.138817,-76.883385,14903,329900,3,3,141,2326,1.14,acres,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29971201,W 13th St,Elmira Heights,NY,42.126305,-76.83417,14903,159000,5,3,93,1700,0.331,acres,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29965792,Estates Dr,Elmira,NY,42.098644,-76.84173,14903,549900,5,5,167,3291,5.2,acres,SINGLE_FAMILY,Listing by: Warren Real Estate
212493484,Maricle Ln,Elmira,NY,42.09521,-76.91782,14903,445000,3,3,208,2138,4.8,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29965818,Thornapple Dr,Elmira,NY,42.09762,-76.853355,14903,495000,4,4,123,3999,5.28,acres,SINGLE_FAMILY,Listing by: Howard Hanna Elmira
29974211,Upper Oakwood Ave,Elmira,NY,42.140675,-76.824005,14903,120000,2,1,109,1100,0.43,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29971357,W 11th St,Elmira,NY,42.12622,-76.82651,14903,144900,4,3,42,3406,6000,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
